LOCATION,ZIPCODE,REPORTED_DATE,WIND_AVG,PRECIPITATION,SNOW,SNOWDEPTH,TEMP_MAX,TEMP_MIN
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-01,15,0.08,0.0,0.0,56,39
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-02,7,0.0,0.0,0.0,41,35
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-03,10,0.0,0.0,0.0,50,36
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-04,7,0.0,0.0,0.0,42,27
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-05,12,0.72,0.0,0.0,55,48
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-06,17,0.0,0.0,0.0,58,35
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-07,10,0.0,0.0,0.0,34,25
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-08,2,0.14,0.0,0.0,40,31
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-09,16,0.04,0.0,0.0,40,30
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-10,20,0.0,0.0,0.0,35,28
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-11,18,0.0,0.0,0.0,39,25
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-12,6,0.0,0.0,0.0,35,20
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-13,12,0.0,0.11,0.0,36,25
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-14,12,0.0,0.0,0.0,39,23
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-15,5,0.0,0.0,0.0,32,17
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-16,10,0.0,0.0,0.0,38,23
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-17,7,0.0,0.0,0.0,30,21
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-18,8,0.02,0.34,0.0,43,31
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-19,7,0.42,0.0,0.0,36,26
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-20,13,0.87,0.0,0.0,33,11
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-21,26,0.0,0.0,0.0,17,5
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-22,10,0.0,0.0,0.0,36,15
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-23,6,0.0,0.0,0.0,46,25
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-24,17,1.03,0.0,0.0,62,37
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-25,15,0.0,0.0,0.0,44,30
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-26,7,0.0,0.0,0.0,37,21
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-27,12,0.0,0.0,0.0,61,31
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-28,10,0.0,0.0,0.0,34,20
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-29,7,0.18,0.1,0.0,41,19
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-30,17,0.19,0.38,0.0,32,5
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-01-31,14,0.0,0.0,0.0,18,2
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-01,7,0.0,0.0,0.0,24,11
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-02,11,0.0,0.0,0.0,34,14
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-03,6,0.0,0.0,0.0,47,21
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-04,3,0.0,0.0,0.0,55,29
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-05,5,0.0,0.0,0.0,54,30
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-06,9,0.64,0.0,0.0,56,41
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-07,7,0.07,0.0,0.0,43,37
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-08,15,0.47,0.0,0.0,58,33
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-09,14,0.0,0.0,0.0,27,19
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-10,9,0.0,0.0,0.0,44,26
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-11,6,0.0,0.0,0.0,31,24
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-12,13,0.95,2.22,0.0,42,30
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-13,15,0.06,0.0,1.18,41,32
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-14,10,0.0,0.0,0.0,39,27
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-15,7,0.0,0.0,0.0,54,34
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-16,15,0.0,0.0,0.0,55,35
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-17,8,0.05,0.0,0.0,38,23
NEWARK-NJ-LIBERTY-AIRPORT,07114,2019-02-18,11,0.08,0.0,0.0,39,23
